20,2020/11/7,車,3000,免許更新
19,2020/11/6,医療費,6120,白山レディース
18,2020/11/6,食費,1960,ルミネ弁当
17,2020/11/6,交通費,8000,チャージ
16,2020/11/4,日用品,2980,ダイソー
15,2020/11/4,食費,650,スタバ
14,2020/11/3,食費,1950,ダイエー
13,2020/11/3,通信費,2790,LINEモバイル
12,2020/11/1,その他,10000,後輩と焼肉
11,2020/11/2,交通費,5000,スイカチャージ
10,2020/11/2,交通費,74000,定期代
9,2020/11/2,医療費,2050,ロバ
8,2020/11/2,食費,320,お茶
7,2020/11/1,課金系,1880,iTunes、iCloud
5,2020/11/1,日用品,540,無印
4,2020/11/1,日用品,360,食器洗剤
3,2020/11/1,車,400,駐輪場代
2,2020/11/1,車,8000,駐車場代
1,2020/11/1,家賃,130000,
21,2020/11/7,車,4210,ガソリン代
22,2020/11/7,食費,2736,OKストア
23,2020/11/7,食費,6500,みなや、サイゼ
24,2020/11/8,食費,1078,カフェアドレスランチ
25,2020/11/8,食費,600,おやつお茶
26,2020/11/5,食費,630,ガスト
27,2020/11/8,収入,10000,アリソンレッスン
28,2020/11/10,食費,570,お昼ごはん
29,2020/11/11,交通費,8000,チャージ
30,2020/11/12,食費,2780,みなや
31,2020/11/13,食費,650,お昼
32,2020/11/13,食費,270,おやつ
33,2020/11/13,その他,3700,ホンダ飲み会
34,2020/11/14,日用品,1300,フロスとワセリン
35,2020/11/14,医療費,1770,歯医者
36,2020/11/14,食費,3880,ok
37,2020/11/10,日用品,510,文房具
38,2020/11/11,食費,680,おやつ
39,2020/11/9,食費,700,マルエツ
40,2020/11/9,食費,1000,澄奈とランチ
41,2020/11/11,医療費,2590,白山レディース
42,2020/11/11,医療費,780,薬(白山レディース)
43,2020/11/14,食費,380,ミニストップ
44,2020/11/13,食費,860,スタバ
46,2020/11/14,その他,2500,停車場セッション
47,2020/11/13,食費,3000,わかばーと飲み会
48,2020/11/15,食費,3000,サミンズ焼肉
50,2020/11/17,食費,1000,ネイルの手土産
51,2020/11/19,交通費,8000,チャージ
52,2020/11/19,医療費,2350,白山レディース
53,2020/11/20,食費,720,お昼とおやつ
54,2020/11/20,食費,2530,馬車道
55,2020/11/16,食費,470,おやつ
56,2020/11/16,医療費,1910,白山レディース
57,2020/11/16,医療費,610,白山レディース処方箋
58,2020/11/15,日用品,550,ダイソー
59,2020/11/12,収入,10000,小林さんレッスン
60,2020/11/15,食費,10000,飯沼ちゃんレッスン
61,2020/11/15,収入,10000,飯沼レッスン
62,2020/11/17,美容,1000,ネイルオフ
66,2020/11/20,その他,1100,お風呂カフェ
67,2020/11/21,車,2000,高速代
68,2020/11/21,うさぎ,5050,メリ病院
69,2020/11/21,うさぎ,18710,しっぽ通販
70,2020/11/22,収入,5000,絢子レッスン
71,2020/11/22,食費,5570,ok
72,2020/11/22,美容,2750,そそ美容院
73,2020/11/22,うさぎ,6080,トイレシーツ
74,2020/11/23,食費,606,コンビニ
75,2020/11/24,食費,800,ココス
76,2020/11/18,課金系,1000,プロゲート
77,2020/11/25,収入,316105,給料
78,2020/11/26,交通費,8000,チャージ
79,2020/11/27,その他,650,スタジオ代
80,2020/11/27,食費,6100,OK
81,2020/11/28,交通費,1900,高速代
82,2020/11/28,医療費,1200,歯医者
83,2020/11/28,光熱費,3355,ガス代
84,2020/11/28,光熱費,3311,電気代
85,2020/11/29,食費,490,お菓子お茶
